raw,attention,meditation,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
-10,27,44,750119,45883,10261,1797,6219,2184,1083,110433
-42,29,38,575541,44528,6547,16712,6916,3296,1151,122270
112,21,34,1646105,304946,7971,35913,17505,5160,3673,482666
8,26,47,1381148,96725,24236,55241,22573,12045,11236,389318
117,48,50,537509,17494,8756,8692,22477,14555,3802,485066
55,44,44,109034,92055,17484,8485,12393,3984,5112,503378
21,57,57,712148,13863,15245,1704,11886,2090,1559,129088
-68,54,66,1150670,100619,108552,40315,8205,11470,6057,471206
68,41,74,828574,46516,42971,5812,17682,8704,5597,490918
-56,37,78,803866,286105,35786,93469,18696,7340,3767,459896
-39,41,66,452020,82448,20447,4837,39000,14207,8477,449016
2,51,63,235138,18061,1738,24082,3905,6032,3731,443286
102,63,54,422253,30895,7683,8332,17955,16957,5013,447252
26,75,56,1625184,50626,29527,34674,54536,9090,3294,376183
83,74,63,898672,49560,18387,5578,6960,7944,2394,103112
-61,75,56,528491,33865,17053,4280,6733,8446,2393,111683
12,66,56,267974,78360,9495,13515,11446,14814,9842,430254
-12,66,54,737402,114681,35152,33674,9082,12550,3458,457346
-39,56,57,418085,133163,41328,35697,8048,6607,4258,441384
135,50,51,280601,60639,2973,14958,16366,5693,3000,423694
87,37,60,354576,117219,54435,48089,52568,7317,3940,413796
61,26,41,538689,1019950,33225,35748,47487,22929,3172,422417
-3,21,35,2015015,245255,30787,30270,19711,5171,3835,491570
-4,23,34,1050155,168911,4877,32990,23965,20745,5888,492232
-36,23,21,869986,307712,11803,37782,13092,9206,3401,501928
-153,29,37,635161,66597,5627,23769,9505,4112,1321,113318
96,41,44,386390,240495,123785,31475,30476,25026,2254,423495
-101,40,53,253234,60655,18873,21186,6831,10020,4019,467151
113,38,66,103567,42682,10501,22037,8062,1793,667,103715
35,43,66,745913,18673,1833,7820,3126,2197,1087,111503
25,37,60,1040453,224873,37413,16881,19661,7943,5852,450213
99,26,48,559908,307715,23964,17650,18016,10307,2567,417752
-129,27,38,1444501,220647,5505,57893,73923,8088,5552,412580
-55,24,44,1973336,133048,80020,132229,59616,20004,17441,367783
-59,30,54,627739,178273,47175,67872,11188,18037,2125,411567
-85,35,57,474165,42621,2387,7058,1523,2235,2939,112847
84,44,67,599476,72907,46924,6867,11249,12873,3888,483159
43,53,64,998530,72339,6647,59827,18825,18934,4896,447205
115,54,60,526703,19979,2151,7754,2876,2129,692,100161
77,57,66,875544,36475,9901,10951,4811,3703,1130,113485
-40,47,57,480339,410118,77378,19140,10141,13849,4897,492546
-43,30,64,3376912,77417,160030,34799,33248,7038,3451,449653
42,16,51,1976481,497914,7767,33894,22576,7762,5125,445925
-34,14,47,2231171,76868,7329,17867,15878,5050,3344,460782
-33,21,54,256727,140703,51528,40231,19999,13465,11886,429882
54,29,47,653207,61996,39062,13086,8185,6692,2213,451448
53,30,57,402658,344447,78792,31445,52826,7375,5832,456102
123,24,48,619435,845237,45474,35565,45944,23715,3265,447400
292,16,35,889391,106595,2835,11956,13459,2394,4335,96978
105,20,40,2462224,54870,95755,19520,30422,15481,13542,414761
-24,29,40,714819,127473,18281,25966,11710,7820,11079,393734
53,30,54,492090,101592,21428,33689,12596,5534,11407,402349
42,44,63,384208,89472,17898,27530,28320,13014,3636,451595
61,44,60,832642,43285,27424,24261,11283,9984,4158,422371
33,56,61,129828,37899,14164,7266,9161,10244,5424,448246
-201,70,61,500226,38983,13031,13186,7224,12547,2636,433078
29,69,51,1172769,82637,4217,6404,13185,7390,1181,84484
101,57,34,230208,86057,1349,6077,3364,2241,1158,103581
66,53,30,515462,15950,4164,2382,4562,2106,1468,105508
77,29,34,172166,51447,7841,13305,15344,3014,1672,102281
-45,29,34,172166,51447,7841,13305,15344,3014,1672,102281
74,30,47,191385,37099,8942,6517,4812,1474,1350,86227
109,37,47,175015,12944,803,3201,3663,2579,1906,108080
29,50,43,256709,75035,11927,13308,14674,17231,3079,369020
125,56,34,388793,177721,12279,9625,14853,13234,7378,420914
-25,67,24,1404004,223080,16925,15710,39249,33685,11623,393278
140,63,27,1687867,251477,43354,39819,42147,25921,2581,387963
-233,54,34,563389,26587,8579,9770,9247,3153,1916,103353
-71,47,50,940610,104152,47692,50758,21410,5335,4284,482723
-61,43,63,883119,14370,5452,5638,3716,2271,1528,97488
-28,47,67,268516,64903,30393,6587,7780,10032,2925,458804
-3,51,67,436979,132279,42360,23009,17502,27804,2636,407061
-30,60,43,224878,229655,5270,6608,45108,15964,4886,459165
43,61,37,46769,37987,3130,8763,4328,4607,6534,488556
87,54,40,427951,138866,78182,50849,48684,13223,4661,401380
-101,53,43,308354,74848,41378,28658,11547,16621,4463,389236
473,48,60,1638824,267479,25032,58148,34511,14189,7323,432625
113,53,67,471386,33144,19324,10858,2984,10926,5239,414467
-2,53,56,526439,181050,13830,22295,29071,10634,4133,394019
-10,50,44,451535,62753,4385,10240,16225,6317,6092,433126
59,54,47,1780891,224982,25813,58147,21165,23477,11417,389090
-29,51,35,852434,176753,16955,21768,9308,25207,3933,361732
-92,57,43,51169,123722,13076,52343,22638,16821,2868,411283
-91,54,48,403830,23889,6623,3008,4499,1891,1727,25401
-54,60,51,663265,75197,18084,19546,8017,15305,6797,401105
-27,53,48,108799,179030,8116,19407,21976,10089,6027,428598
38,50,51,486206,172106,93068,46244,28532,20771,4529,427562
43,60,57,563759,38330,38933,29308,47312,15664,7935,432639
125,51,56,538837,104186,17692,32651,36189,9629,4988,353173
147,54,63,133438,37380,6515,6201,5028,3699,1737,92693
-25,50,54,925887,35650,6942,4563,6262,1617,1209,74859
-148,43,57,424513,209458,144703,106619,46434,31102,11195,263530
308,43,57,244395,60625,10111,5268,3215,3648,946,1568
-3,43,54,1513779,125718,8878,25169,9070,9350,1987,11723
2,37,53,1160489,105596,11838,13660,3954,5447,1752,69005
23,43,56,604195,11982,668,8879,7768,1644,873,76229
499,51,51,447789,40442,48986,34115,24426,31776,1636,604990
164,50,44,516267,656553,87008,56783,12746,32696,4901,630543
49,66,51,1154352,53026,33478,23172,5650,37084,2319,612369
-89,84,54,110681,42389,33282,8108,6981,41917,1581,516707
33,83,48,651009,9230,6502,3907,5757,4272,467,31916
-53,91,64,1955331,56622,30908,34164,25252,13451,1590,401890
138,77,56,408848,23508,2786,7107,3516,1959,401,79265
156,63,75,2016329,32146,54775,89393,29653,17404,1636,322686
-1,56,75,645049,136410,23219,74587,31746,25059,2698,432967
-76,40,53,235816,73314,5759,5353,2230,1519,365,58699
-21,44,57,656397,61106,17350,20138,9765,11473,1174,211785
-7,43,35,868318,90731,33710,5464,18503,9187,1292,227808
307,40,11,287006,410295,31956,20059,52980,34886,2175,180900
51,54,26,600619,134902,31325,42219,26156,20856,2855,385732
105,40,23,697547,37348,1909,11401,828,844,636,68542
92,30,30,662137,69373,35257,10596,5572,3939,2334,282935
117,29,51,571184,100122,40208,15895,5701,9844,4355,817957
-161,16,30,458560,1179151,15230,34526,12371,25786,3136,641505
-156,24,44,207862,86211,41170,45787,14740,7157,3008,467691
66,40,41,365397,20647,1287,9520,5988,6158,835,95873
44,37,40,244766,124054,24796,12089,7527,6831,1657,281005
-201,44,63,227972,33800,4906,8697,7170,2045,1041,71374
200,48,53,933981,147092,43958,14862,30439,14642,2042,158949
-149,53,54,1037182,151397,71463,23522,17350,86334,1634,959226
-98,70,48,1571199,252235,42492,17022,31828,112657,3522,885781
-29,77,48,912744,250815,62518,24322,8349,29631,589,338694
199,80,47,286679,210479,63984,7704,3623,28588,929,345515
90,70,47,297889,79802,21449,9739,4680,14017,358,244006
241,43,43,1137332,1075022,114948,37556,80852,17987,6431,853284
69,41,54,384789,298754,225365,21946,5506,43266,3129,434709
-134,56,54,1029859,423452,176240,37068,6718,326394,7410,1231081
-167,60,64,122525,117789,151706,5854,3914,50268,1053,311557
-23,84,60,853657,777658,72094,2742,11333,238772,9992,1094460
123,97,48,454547,387187,144570,20747,8729,203406,5580,1063059
106,97,53,101236,223542,210064,12350,3607,242681,5570,926149
-13,80,35,827365,110820,10653,10411,11438,3023,977,110341
-8,66,61,1741274,96063,46471,44434,4554,11033,1397,345619
21,56,57,1041684,330504,69838,13623,18713,52042,1762,673421
-154,47,43,135122,68267,1036,11618,16514,13455,1498,70117
53,53,27,395258,26152,992,193,1909,1074,536,25178
247,53,17,95291,43294,2154,17807,13769,3803,711,69154
22,40,24,1423120,390369,91686,77497,34368,14917,5206,213606
57,41,35,243228,66928,15674,15105,9737,24077,5091,150649
168,56,57,1291271,72142,30454,21841,40736,27332,2971,147739
71,64,51,1188403,324232,16613,62661,65511,70935,17346,89191
138,70,41,682597,262901,9448,41716,13236,18202,9931,103081
68,64,43,478462,18805,847,7268,2889,2663,294,7480
-210,51,38,158682,97332,23526,3626,5221,6347,1080,32015
23,38,38,437841,43089,1178,6239,2295,1816,909,4184
11,34,43,115505,136824,23000,15697,17954,4614,3254,22023
72,23,43,111051,127875,29167,24703,28836,5468,2470,7088
-92,17,43,70166,17022,3894,788,3840,660,132,112
-53,35,57,72319,3105,3884,2533,4760,2198,317,53218
-37,40,54,842826,154738,11216,24422,26816,9400,3446,223504
13,38,40,770110,284815,13259,13463,3916,7235,1470,204606
-1,44,41,1214383,73010,13385,13770,17756,6946,1083,182810
151,34,23,125526,46176,5028,1840,4183,3255,673,103917
369,35,26,1709983,114622,25122,5041,6396,8781,2617,156155
25,54,41,1368613,101475,17165,44697,34918,41334,3622,605239
-25,64,40,675057,57184,6647,10623,13066,17151,2148,703955
-19,63,50,729320,186674,38556,31262,18677,13227,3661,659614
61,63,54,228541,66102,13300,19177,13900,6494,4708,606725
28,51,47,302561,64077,2296,11347,18044,4559,2192,547219
59,43,47,1099291,98100,12139,17494,33875,12589,3610,516830
19,43,37,1203885,106392,11773,4996,15647,6775,4722,558200
6,48,34,303601,35599,5720,8269,5804,4917,4380,595117
10,51,48,494961,48524,29705,12047,7649,8785,3186,526472
26,43,41,150651,233033,24265,7781,18948,8954,3019,427776
64,48,66,347520,12308,33360,4137,11520,5077,4227,330842
6,43,74,280087,54902,10519,32891,4941,5602,4000,287547
41,48,64,295039,48700,14222,11445,25893,13470,3285,337975
219,51,84,317635,124286,61912,47411,17606,11589,3098,302089
-8,47,61,1241918,658280,24819,85175,21102,41615,7023,313548
9,43,56,421272,134924,48928,24214,58927,7302,3870,96190
38,41,60,277519,44806,13227,12851,8938,8691,7389,198653
5,41,53,870008,121336,32697,32197,42238,10574,3179,184177
103,41,54,355393,158511,13377,21624,15930,11192,4993,129863
76,41,57,978801,138845,57919,26128,17538,7942,16423,137871
406,35,63,518863,102872,60819,15053,14518,7699,4857,139995
-26,34,57,656974,289405,34108,46136,25265,16735,2933,113956
115,29,60,228205,34888,6882,3132,6533,1763,1367,36199
55,24,43,912142,457696,49503,4533,23937,11506,3395,320531
99,27,37,65535,24926,8263,1384,1829,2657,471,103042
96,26,47,1505671,78295,32516,19799,10985,5727,1815,442086
-14,34,48,502862,89415,14150,13042,5546,8687,4180,370551
9,40,57,1082886,102052,6017,26743,15335,7520,2441,336121
51,51,51,15348,67175,9356,11707,25436,22830,4197,348574
-120,48,48,296848,155088,32212,33165,30944,5697,4708,345230
56,56,40,63221,40919,4337,5715,18579,11064,4528,355579
-2,63,51,34971,17202,10742,9899,6841,3876,1380,427806
11,61,66,12139,7170,4651,6887,3953,4361,4538,374599
115,66,69,252350,86621,16945,36113,9273,6317,2710,279419
5,54,75,307687,262029,30075,30354,11715,18844,5254,269947
20,43,63,418679,39683,6859,4291,3199,1404,893,12143
-22,30,54,88967,79369,22538,8293,11131,6529,4268,259089
20,41,57,114793,43592,19173,30844,11927,11437,6769,311974
-19,27,57,1058628,331305,44564,35565,39864,6162,4413,270585
-29,40,48,22990,73971,6606,2330,2971,7653,2248,300445
19,51,47,220243,7560,792,3315,5077,2381,1649,68462
20,48,38,55373,37676,6833,8943,8711,4809,4147,261789
-202,63,41,19171,65391,13732,8662,5150,7828,4733,260838
90,64,74,553533,15545,34269,59818,10379,11419,2871,241975
81,57,75,1168987,191998,65289,34915,19907,27356,4419,277188
-14,56,80,188938,41634,27579,9244,17522,6025,1856,239964
-34,60,77,8217,31454,1287,8821,9136,6343,4795,228336
-4,44,48,12566,142560,12689,9271,2440,3511,3470,238300
38,35,43,194975,138701,24478,18283,4291,5483,1995,194894
80,29,37,149817,97420,24577,10347,9617,5972,3695,224364
18,34,35,7410,40298,1940,7217,2199,10349,3077,179747
16,66,35,32071,17129,5140,3734,10873,19612,3250,169085
6,66,35,32071,17129,5140,3734,10873,19612,3250,169085
49,56,63,432894,95411,41381,14684,15892,4652,2559,180741
81,66,67,120352,48803,10645,13695,10127,7196,2155,188944
-121,47,90,25397,17387,29866,21668,12883,6428,2987,162346
81,41,63,437130,98733,7595,10034,11108,6184,2583,175657
34,51,69,7181,20750,16927,10120,5364,3955,3739,176428
56,51,67,81802,32816,3931,6675,2272,4922,1379,36488
36,47,38,30722,139224,6170,7057,5220,7334,2345,157687
25,60,41,7250,28469,6190,3371,12131,9868,3420,181493
25,61,30,215756,32387,13964,4107,10026,5205,3003,163891
-126,57,38,227885,105925,47398,14832,17488,11483,2341,51499
34,57,43,694975,219376,13318,22725,9488,12557,4044,133838
-2,48,51,44244,51676,12905,27356,30466,7658,3973,102081
97,34,50,47958,100279,28290,10262,14845,3018,3904,100012
48,43,57,72095,18577,9812,22043,6580,10859,7347,110635
26,43,61,180646,64381,12133,2295,1917,3168,1016,20789
-6,41,66,255387,50086,42802,34748,53370,11050,3821,74458
-9,51,74,642919,120111,32488,76075,30404,14068,5684,98263
72,43,57,53595,42693,5419,5695,3050,4975,6341,95627
51,53,57,752491,53768,11243,6249,16936,10178,8758,91194
-221,53,48,100754,64929,15561,2777,5421,6397,3999,111449
39,44,47,75971,105392,23781,56102,16473,4432,1886,71313
19,27,40,555396,339055,19251,14229,5163,5073,4363,89983
144,27,48,36763,54454,20467,20196,12267,14270,4415,90661
-9,30,48,261343,52521,10611,6144,9189,7330,4047,85367
-89,47,34,19137,30854,4648,629,2495,4613,3083,106400
16,64,53,99804,29576,18321,11629,9533,5756,3900,90612
57,60,44,1724,38557,6554,6350,6231,4338,2149,112336
57,50,40,780452,117935,12915,10870,26075,4842,3577,89574
83,40,50,216418,49525,11244,7136,3692,3045,585,24708
107,38,35,639548,72526,3750,13335,31287,7329,5091,77018
0,30,21,181723,188760,3910,10132,8579,9150,3575,84157
51,41,21,71345,48948,3932,6868,17867,6213,4066,84291
85,44,26,254751,28553,19549,3848,6368,2959,636,16165
75,48,44,79986,31287,17896,23615,7872,7837,3009,75854
25,60,60,105999,42262,14582,3449,7358,9989,2516,101186
-110,77,61,31350,17504,1785,4339,2784,14895,5055,98570
13,70,50,46767,50450,3843,6558,2550,1841,455,19466
20,61,35,702578,111895,17753,11444,14269,6169,2964,88912
-68,61,29,436358,47047,6358,6856,11153,8692,2976,98665
-34,41,40,148290,29707,9211,10903,6689,3732,1117,25776
-59,43,51,347921,106712,40876,20362,6967,6165,3247,93106
36,48,60,40436,50840,23391,6068,4949,5476,5152,106141
68,37,78,47652,40688,29637,40370,17315,5027,3154,73809
-94,24,60,570564,112283,5037,6340,13071,2787,1639,11340
38,35,54,70774,60783,10765,17195,10917,9933,2693,51021
23,29,60,99436,137700,88278,25529,9667,8953,6134,52023
49,43,40,148222,63538,2285,12789,17683,14823,2082,60207
10,64,64,4452,2063,7674,5984,6731,4443,5031,50401
129,70,67,37344,12322,5738,4181,6081,4362,3908,53086
-12,75,54,508558,194755,14349,30940,12822,13190,3243,62557
304,63,67,11663,49497,24355,15357,21857,4866,3470,60355
37,44,54,381522,187919,55145,17008,19545,8801,10232,55513
69,41,40,9208,106618,6206,6734,7715,15275,4001,60232
-11,29,44,361919,90372,28297,3222,1101,1871,793,12555
68,21,29,169763,233835,8976,19788,7036,6992,2405,46634
39,34,38,38267,44316,27710,19292,4494,10526,1494,116659
-114,27,54,36159,67081,23921,13463,10223,7099,2858,140223
20,54,56,275402,29436,12062,15867,13373,20411,1890,128413
36,77,67,75439,26393,15953,5683,22067,12148,5934,92696
-174,74,60,5956,19120,4427,6224,8533,2079,5754,83874
-179,74,56,733650,58343,13893,9198,3345,6183,1049,26069
12,56,60,275561,128063,28386,63781,12241,12111,3679,116870
89,54,56,57371,20118,7062,2082,7058,5806,2477,95066
27,50,48,608003,156500,15772,11040,13667,8355,6726,122515
-97,40,26,546941,246812,1026,10161,18503,6495,7397,102787
-44,48,24,180944,46045,33927,18106,43526,13700,5897,82922
48,37,38,34508,75219,72037,2343,2938,8416,3450,83843
-6,38,37,27026,86600,7374,5894,14141,5470,4401,86649
-22,54,63,25691,19830,5418,18665,15287,6236,2836,95428
-22,40,50,66644,48814,4665,3369,3801,1589,1112,21415
49,40,47,385040,65137,25495,22779,3904,6321,5881,102233
-210,47,48,291346,77018,7650,6298,7915,9094,3354,87714
92,30,34,210651,125524,9742,7218,15213,4566,3512,95403
16,43,43,22670,32948,13535,2948,2375,5525,8863,89050
29,48,35,109862,51696,9589,9846,9024,6913,5073,83383
75,44,47,11509,49929,25970,4351,6766,5531,5323,75927
8,47,50,43620,232782,39862,3651,15040,11192,2789,85841
-41,40,34,239774,164579,11745,2680,11843,7514,4735,86747
29,24,27,94301,141819,10834,17090,21973,3412,3256,65077
-60,27,17,144241,39118,2104,5197,1358,4141,1001,19415
292,26,16,190417,173536,4841,20918,10137,6034,3224,74327
219,38,43,242117,498514,378439,11388,10133,112181,1354,931511
-258,41,50,182865,193218,83066,5016,5146,34079,1255,438885
129,60,66,1492369,477811,452297,17827,13398,232907,7604,1628663
-260,78,74,1729499,545945,412131,91131,12013,259299,7906,1620439
-124,84,67,889044,734357,401487,16024,5275,314828,5162,1832998
122,90,67,1106776,151748,60381,16039,26131,45242,1640,363038
233,83,61,500392,433451,114506,54823,2651,83459,1392,732337
375,84,51,777206,457307,10911,149939,3315,161833,2751,650326
289,78,47,649490,651566,59140,90306,4541,117857,1629,684369
-87,81,44,487184,239459,74405,35746,1441,87698,1302,559402
-123,88,47,1312405,602400,217757,128287,18321,317108,6521,1842994
-171,88,54,720204,83677,80325,4868,2926,36179,1095,341194
108,91,51,699876,669040,80590,34671,8768,168212,4182,1182191
226,97,44,1390820,193225,47646,8949,13587,143495,5865,1162543
289,91,21,506182,1206818,45031,7170,13166,205244,1950,1118252
-101,94,8,295843,367207,75517,22557,4894,156428,3284,983200
-199,100,17,787896,270097,136305,10241,12920,145381,2620,867998
-51,91,4,271479,635562,23064,8084,6618,129762,1609,853118
-29,94,29,605371,157346,60897,50849,11178,61922,2505,847357
199,100,30,155204,158973,55561,4763,1966,138155,2482,873888
161,96,37,977563,157583,107043,23866,10364,71708,1095,784742
-181,100,35,207004,521447,10380,4639,5160,160246,1977,735489
-140,100,41,843138,98711,112812,11995,5150,57195,887,631441
44,94,30,389917,362329,19327,1962,4373,106213,3108,679490
2,100,11,288368,136686,9281,4633,3365,108004,442,615032
163,100,40,366032,85458,64551,17274,7728,39815,1222,560849
70,97,27,527965,75489,9359,8980,1566,15077,480,140866
-132,93,53,1003225,418455,368264,93615,11910,144795,15141,2062888
-123,80,70,534564,115968,27795,27237,16346,29678,1027,536191
306,83,69,1342189,246656,181256,24836,42721,131519,9916,1853300
135,75,75,266646,313327,35600,79784,12674,29856,1750,462067
140,74,74,1269751,176511,24731,24186,35403,28672,897,431558
92,54,67,653713,206032,52985,20599,59564,12651,1379,398220
-334,54,67,653713,206032,52985,20599,59564,12651,1379,398220
150,35,48,717217,31505,11708,15222,4443,2407,566,77341
99,35,44,2435528,550998,78926,18119,79451,87808,9057,1247188
-71,41,44,69593,36506,8852,3243,3596,3927,331,74402
-114,60,60,764552,67972,33768,9825,17389,24530,853,267768
49,63,66,685064,9162,9743,14895,4753,2020,647,70531
189,57,74,1290544,130480,31187,15453,15279,12727,1064,277068
99,57,84,782482,42433,51962,18279,16195,10102,579,259865
-60,48,91,1073579,254368,179445,35979,26470,34925,7528,1012746
-67,47,75,110149,45196,1363,10910,1195,2997,511,56395
237,41,80,2192759,37862,8775,16825,8051,2788,2008,232919
-1,38,64,458580,59722,4509,9257,4305,5437,363,60510
-45,40,60,1737740,268301,58678,65648,71597,35194,1243,1207167
98,47,53,1039350,248987,17820,13179,9318,27341,2367,467630
-68,60,53,519135,720768,485435,67222,18717,223515,3890,2049969
-89,67,57,181524,21165,7266,5026,5507,6767,690,115849
92,63,57,1070068,290514,49249,57053,5992,18687,701,418779
161,57,69,921239,198261,59349,35032,16441,15052,2848,408522
166,48,69,178919,33249,14129,10315,3599,3484,603,102452
-26,48,74,1862784,58605,9701,40409,21593,23527,2958,391414
83,44,78,544485,185954,131667,23321,17678,11045,8808,360084
119,53,75,961251,494109,46955,84761,16006,96478,15056,517820
85,57,70,654256,36449,13444,6431,7030,4784,895,94258
108,44,77,795819,129078,86464,50008,6729,13822,1798,343920
-68,47,63,779430,67633,4135,8665,5407,3544,616,93901
-118,43,64,2100738,751679,47993,182175,54038,102631,14000,1412395
-98,38,60,614666,1107562,244152,49816,41664,64071,12186,1356242
-37,35,67,854776,39881,72665,51256,8886,5629,2031,323305
59,41,84,105351,12255,13338,4018,1236,2634,967,74350
50,44,93,1643819,62259,27916,23276,3796,15536,1116,272419
194,56,100,1328306,7017,14751,4133,2956,4226,529,77606
22,67,90,65065,16480,3481,2868,4607,2616,347,65264
-45,70,81,1105715,73281,13064,33959,7047,15833,1199,281475
-4,57,74,862697,151157,4056,36937,29483,5771,1785,298802
96,57,60,1336616,127314,44877,11545,11991,33502,1321,302044
43,54,64,809463,24817,8667,8031,11151,3263,697,69541
115,40,51,877773,388193,10445,35314,13447,10609,3021,291920
76,48,61,1451415,62049,9794,58540,21484,10536,2017,258967
1336,41,74,1705343,23986,14262,35025,11459,6884,3607,173067
-170,41,74,204056,19414,3906,7754,3062,6429,315,17767
-115,37,63,530291,110789,8415,8208,15306,5421,308,87528
38,50,69,540261,26322,5897,2913,811,4045,365,75055
357,53,60,133746,59580,12898,5022,11510,9017,1718,81292
123,51,50,1935228,82956,34168,16987,20204,11441,1156,312071
310,57,67,591645,22840,20859,8520,5324,4090,179,78977
-38,51,70,103143,37888,13056,2750,2096,3221,364,72631
-4,44,70,121319,53443,10570,3404,3872,3620,322,80872
131,47,74,1062958,119932,41704,43777,32268,17894,3152,282970
91,41,64,838374,48076,12068,14872,9111,4123,1262,51494
18,48,63,1932718,657204,27741,201159,29505,92876,13580,1154448
-77,57,66,157073,27519,2861,9199,3864,6475,887,69535
75,51,64,1038660,95509,37309,23270,33573,7502,2154,270178
85,47,57,1871062,462538,30546,69593,28021,18103,3028,278176
-109,23,54,176153,79859,14952,3824,5316,776,797,63508
-179,14,50,1484432,155719,11201,19027,8751,10644,2502,258600
-132,27,48,1801992,146914,37090,75016,92376,58471,3085,972832
-50,34,56,2245799,110010,51489,14346,29733,9045,1580,249334
1,53,60,526556,87935,8881,29649,16351,10478,1068,225437
53,51,60,1163640,648044,22799,109475,43136,34065,6049,907024
-14,38,67,2236087,59778,25864,32476,4735,6249,1059,253022
164,35,64,1727092,109646,41375,2837,15123,5028,860,246770
108,27,69,1626099,62806,29040,19683,18527,4428,2300,179824
-39,24,78,1720533,157769,28784,62013,19434,8342,10379,563905
10,24,75,396053,61453,14770,34459,24620,5655,7231,636334
-27,26,61,39227,75759,1917,4692,3253,3242,2785,146023
-123,20,56,266857,222935,30069,37837,9779,5406,3103,520735
-244,13,51,1434880,441632,84236,70053,30153,10836,9069,500371
2,3,43,1707103,201178,16123,34422,6967,3844,2916,127616
298,7,43,644662,843595,47096,21633,26248,55892,8741,330520
219,23,43,656273,312580,88485,64996,139296,57165,7119,173237
43,41,41,1617471,217558,42787,31519,14067,38634,2133,161149
-216,40,44,1403954,658022,162354,41076,42353,11693,9093,879905
-72,50,60,177222,22621,9131,9179,13419,6630,497,89380
50,41,64,1988208,254419,118943,27846,19152,21383,2670,410448
-92,43,56,1436046,1140533,70733,63601,33957,199443,9727,1701843
-60,54,53,124202,447720,71830,30858,15824,28341,2300,431575
-35,50,61,2174090,56406,65222,39982,16963,15011,1475,392595
5,60,57,225441,111995,38835,16966,15982,28357,1931,349776
-40,54,61,2776232,210378,18346,12888,9320,21050,3078,373977
-174,69,67,375769,84649,34787,17730,8876,34082,1471,348830
-195,67,48,969081,29817,1855,3724,3110,2620,258,81400
-35,53,27,246398,514576,4463,16861,20414,18140,4555,294507
-35,44,30,695512,253030,36334,20935,21802,11393,3057,296536
51,27,27,645464,42006,6523,4752,4994,1803,255,74498
177,30,37,346816,20068,10091,1235,5139,3697,283,65410
89,30,61,1539117,619573,326660,69431,116799,32550,4557,1016488
58,40,56,2181424,305884,24360,23022,52426,30841,6059,940914
4,51,64,2130509,139961,110889,59101,60911,44292,2286,907559
-6,43,57,2095612,905252,91613,77431,49293,45242,8549,951066
-106,40,43,929277,416453,11088,43221,17653,10737,1948,207796
-117,38,57,398574,43086,31878,6418,15680,6433,1426,214933
-145,26,57,131567,28009,3521,15655,600,1556,815,56675
40,24,74,337080,17767,4378,11996,1478,1269,355,54432
120,38,83,839551,75595,17251,18808,7877,10971,1241,199585
105,43,78,1531286,56501,25316,4546,11799,14116,2056,197160
170,43,66,1081752,861506,91173,80451,31280,33405,9044,897892
244,50,53,83368,31037,3728,3964,8246,2402,1105,106748
-76,40,60,732386,99223,34701,51166,4597,6147,1414,209524
209,30,57,1941226,147665,38761,18808,19701,12270,2522,768993
35,40,57,1266122,569958,65383,46672,87179,57201,4175,728679
76,34,56,492110,25832,3549,1191,884,887,249,48323
145,30,47,528368,280037,35232,35169,16946,11036,5429,765298
64,24,51,736689,78631,40014,9153,4223,3562,1741,189635
8,17,54,1251373,95079,10332,12435,11553,5366,2151,184399
25,24,47,1552060,486210,30842,6940,22146,31069,4215,681686
-88,30,51,987471,29349,4529,11505,6941,3377,1419,176513
-50,37,47,828048,104589,30273,19685,26565,6808,4720,615716
20,40,54,1019528,52457,3060,39802,30893,5543,4449,654822
4,37,67,1420765,117867,4939,37087,11359,6015,1332,179996
87,21,54,456040,163555,9185,10430,23331,2597,2900,159138
-78,26,50,150751,6755,1361,1348,5535,684,262,42199
81,23,44,432208,211101,51461,22799,23754,11991,3825,630812
-93,27,43,1106123,62642,10080,6816,7785,5033,2037,148481
-38,35,57,1243831,97846,27078,40039,26754,4406,3757,579872
4,30,48,1618859,336672,15468,11984,5431,20334,3733,571234
-81,21,47,473347,566678,120876,12577,34874,8605,15646,575063
-13,11,41,138010,343944,22146,25067,26205,9568,3784,565197
48,11,37,273727,98572,2359,32023,2753,3264,1712,132910
125,17,51,7010,33641,14439,3764,11371,6562,3154,642784
105,43,64,1499982,32537,52689,17964,12769,19835,5123,582048
59,44,74,463396,555152,112000,69775,7050,21378,5644,576441
187,61,74,214607,25542,5303,8343,9310,4972,8286,548759
-42,41,64,248873,519873,32050,39558,48351,8536,3605,469632
-125,37,60,52081,20251,15507,6631,6361,4682,10744,510715
133,50,54,724358,121607,5397,33382,15905,13498,2998,428966
3,60,69,111452,33667,14443,6512,4119,2687,1147,91564
-66,51,50,1579220,383217,10960,21411,27365,18158,4009,370722
-61,40,54,285306,166532,110188,2956,22672,13473,4789,340322
-149,44,61,112350,38319,14263,23856,24211,12075,5741,387286
33,48,57,830535,93616,19787,24233,19707,8602,1738,444945
99,56,61,68535,95064,6782,6368,5334,12532,4975,375989
-18,50,53,410148,197003,41924,9025,9093,6577,2970,365759
220,43,53,529608,72168,17188,21755,8499,7434,3408,376462
-93,34,48,306879,84492,4715,14019,3822,1926,476,78150
-24,30,54,945493,130466,40681,1960,23326,16571,8820,318178
-35,40,66,1089630,66486,67503,5616,9659,7251,3512,405067
